Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,,,,,,,,,,
hours,,,,,,,,,,
0,,,,,,,,,,
0.081180205,,,,,,,,,,
0.160882133,,,,,,,,,,
0.247107887,,,,,,,,,,
0.328324434,,,,,,,,,,
0.411819245,,,,,,,,,,
0.492733045,,,,,,,,,,
0.577283538,,,,,,,,,,
0.656188356,,,,,,,,,,
0.740808954,,,,,,,,,,
0.82947039,,,,,,,,,,
0.829724369,,,,,,,,,,
0.920194305,,,,,,,,,,
1.005862763,,,,,,,,,,
1.087025587,,,,,,,,,,
1.171746231,,,,,,,,,,
1.172039112,,,,,,,,,,
1.262063775,,,,,,,,,,
1.262360317,,,,,,,,,,
1.341165905,,,,,,,,,,
1.422141729,,,,,,,,,,
1.422427534,,,,,,,,,,
1.498195909,,,,,,,,,,
1.58507936,,,,,,,,,,
1.660508408,,,,,,,,,,
1.748157552,,,,,,,,,,
1.823611628,,,,,,,,,,
1.907357062,,,,,,,,,,
1.993521686,,,,,,,,,,
2.082032413,,,,,,,,,,
2.159422402,,,,,,,,,,
2.237431138,,,,,,,,,,
2.31553255,,,,,,,,,,
2.315820053,,,,,,,,,,
2.404248319,,,,,,,,,,
2.486083348,,,,,,,,,,
2.5614678,,,,,,,,,,
2.561742926,,,,,,,,,,
2.649434442,,,,,,,,,,
2.727833634,,,,,,,,,,
2.807114033,,,,,,,,,,
2.807382367,,,,,,,,,,
2.898456523,,,,,,,,,,
2.898735419,,,,,,,,,,
2.980575269,,,,,,,,,,
3.062744282,,,,,,,,,,
3.147742764,,,,,,,,,,
3.225525944,,,,,,,,,,
3.309973284,,,,,,,,,,
3.385142931,,,,,,,,,,
3.469178641,,,,,,,,,,
3.551881015,,,,,,,,,,
3.629853122,,,,,,,,,,
3.706575262,,,,,,,,,,
3.783825723,,,,,,,,,,
3.866407648,,,,,,,,,,
3.866674722,,,,,,,,,,
3.957078302,,,,,,,,,,
4.035028881,,,,,,,,,,
4.122410084,,,,,,,,,,
4.212693043,,,,,,,,,,
4.30014995,,,,,,,,,,
4.383795677,,,,,,,,,,
4.3840862,,,,,,,,,,
4.460039855,,,,,,,,,,
4.539543886,,,,,,,,,,
4.539805582,,,,,,,,,,
4.621404361,,,,,,,,,,
4.698365702,,,,,,,,,,
4.788164971,,,,,,,,,,
4.870333098,,,,,,,,,,
4.95568984,,,,,,,,,,
5.03260392,,,,,,,,,,
5.11567686,,,,,,,,,,
5.196621255,,,,,,,,,,
5.278539203,,,,,,,,,,
5.363859864,,,,,,,,,,
5.364120741,,,,,,,,,,
5.445079149,,,,,,,,,,
5.527266836,,,,,,,,,,
5.606418069,,,,,,,,,,
5.691816042,,,,,,,,,,
5.77572661,,,,,,,,,,
5.86202202,,,,,,,,,,
5.862309069,,,,,,,,,,
5.951884198,,,,,,,,,,
6.034933421,,,,,,,,,,
6.035185151,,,,,,,,,,
6.110391274,,,,,,,,,,
6.200096669,,,,,,,,,,
6.278086601,,,,,,,,,,
6.3601574,,,,,,,,,,
6.4483428,,,,,,,,,,
6.530145266,,,,,,,,,,
6.61091862,,,,,,,,,,
6.694819361,,,,,,,,,,
6.774456736,,,,,,,,,,
6.865385346,,,,,,,,,,
6.955932393,,,,,,,,,,
7.043497328,,,,,,,,,,
7.124117855,,,,,,,,,,
7.199918544,,,,,,,,,,
7.279032549,,,,,,,,,,
7.279296746,,,,,,,,,,
7.365814966,,,,,,,,,,
7.450863994,,,,,,,,,,
7.53283932,,,,,,,,,,
7.610868092,,,,,,,,,,
7.701468517,,,,,,,,,,
7.701772712,,,,,,,,,,
7.78620132,,,,,,,,,,
7.875687082,,,,,,,,,,
7.959407514,,,,,,,,,,
8.041983735,,,,,,,,,,
8.12749917,,,,,,,,,,
8.202837284,,,,,,,,,,
